,Bedrijf,Maand nummer,Probability Maand,Dag nummer,Probability Dag,Uur nummer,Probability Uur
97,PVH Tommy Hilfiger,1,,5,,1,0.0
98,PVH Tommy Hilfiger,1,,5,,2,0.0180718626981917
99,PVH Tommy Hilfiger,1,,5,,3,0.0156632113529111
100,PVH Tommy Hilfiger,1,,5,,4,0.0132289126513726
101,PVH Tommy Hilfiger,1,,5,,5,0.0282064441029714
102,PVH Tommy Hilfiger,1,,5,,6,0.0086872455444295
103,PVH Tommy Hilfiger,1,,5,,7,0.0046999605827403
104,PVH Tommy Hilfiger,1,,5,,8,0.0036178833712256
105,PVH Tommy Hilfiger,1,,5,,9,0.0039502997997184
106,PVH Tommy Hilfiger,1,,5,,10,0.0143229565887786
107,PVH Tommy Hilfiger,1,,5,,11,0.0011337374650254
108,PVH Tommy Hilfiger,1,,5,,12,0.0071291270542272
109,PVH Tommy Hilfiger,1,,5,,13,0.0343583830891204
110,PVH Tommy Hilfiger,1,,5,,14,0.0099048220781301
111,PVH Tommy Hilfiger,1,,5,,15,0.0632457822174093
112,PVH Tommy Hilfiger,1,,5,,16,0.0823746584294746
113,PVH Tommy Hilfiger,1,,5,,17,0.1808468685048946
114,PVH Tommy Hilfiger,1,,5,,18,0.2128328172573408
115,PVH Tommy Hilfiger,1,,5,,19,0.1054517696519128
116,PVH Tommy Hilfiger,1,,5,,20,0.1354900233057945
117,PVH Tommy Hilfiger,1,,5,,21,0.0461636277974292
118,PVH Tommy Hilfiger,1,,5,,22,0.0106196064569011
119,PVH Tommy Hilfiger,1,,5,,23,0.0
120,PVH Tommy Hilfiger,1,,6,,0,0.0
121,PVH Tommy Hilfiger,1,,6,,1,0.0
122,PVH Tommy Hilfiger,1,,6,,2,0.0180718626981917
123,PVH Tommy Hilfiger,1,,6,,3,0.0156632113529111
124,PVH Tommy Hilfiger,1,,6,,4,0.0132289126513726
125,PVH Tommy Hilfiger,1,,6,,5,0.0282064441029714
126,PVH Tommy Hilfiger,1,,6,,6,0.0086872455444295
127,PVH Tommy Hilfiger,1,,6,,7,0.0046999605827403
128,PVH Tommy Hilfiger,1,,6,,8,0.0036178833712256
129,PVH Tommy Hilfiger,1,,6,,9,0.0039502997997184
130,PVH Tommy Hilfiger,1,,6,,10,0.0143229565887786
131,PVH Tommy Hilfiger,1,,6,,11,0.0011337374650254
132,PVH Tommy Hilfiger,1,,6,,12,0.0071291270542272
133,PVH Tommy Hilfiger,1,,6,,13,0.0343583830891204
134,PVH Tommy Hilfiger,1,,6,,14,0.0099048220781301
135,PVH Tommy Hilfiger,1,,6,,15,0.0632457822174093
136,PVH Tommy Hilfiger,1,,6,,16,0.0823746584294746
137,PVH Tommy Hilfiger,1,,6,,17,0.1808468685048946
138,PVH Tommy Hilfiger,1,,6,,18,0.2128328172573408
139,PVH Tommy Hilfiger,1,,6,,19,0.1054517696519128
140,PVH Tommy Hilfiger,1,,6,,20,0.1354900233057945
141,PVH Tommy Hilfiger,1,,6,,21,0.0461636277974292
142,PVH Tommy Hilfiger,1,,6,,22,0.0106196064569011
143,PVH Tommy Hilfiger,1,,6,,23,0.0
144,PVH Tommy Hilfiger,1,,7,,0,0.0
145,PVH Tommy Hilfiger,1,,7,,1,0.0
146,PVH Tommy Hilfiger,1,,7,,2,0.0180718626981917
147,PVH Tommy Hilfiger,1,,7,,3,0.0156632113529111
148,PVH Tommy Hilfiger,1,,7,,4,0.0132289126513726
149,PVH Tommy Hilfiger,1,,7,,5,0.0282064441029714
150,PVH Tommy Hilfiger,1,,7,,6,0.0086872455444295
151,PVH Tommy Hilfiger,1,,7,,7,0.0046999605827403
152,PVH Tommy Hilfiger,1,,7,,8,0.0036178833712256
153,PVH Tommy Hilfiger,1,,7,,9,0.0039502997997184
154,PVH Tommy Hilfiger,1,,7,,10,0.0143229565887786
155,PVH Tommy Hilfiger,1,,7,,11,0.0011337374650254
156,PVH Tommy Hilfiger,1,,7,,12,0.0071291270542272
157,PVH Tommy Hilfiger,1,,7,,13,0.0343583830891204
158,PVH Tommy Hilfiger,1,,7,,14,0.0099048220781301
159,PVH Tommy Hilfiger,1,,7,,15,0.0632457822174093
160,PVH Tommy Hilfiger,1,,7,,16,0.0823746584294746
161,PVH Tommy Hilfiger,1,,7,,17,0.1808468685048946
162,PVH Tommy Hilfiger,1,,7,,18,0.2128328172573408
163,PVH Tommy Hilfiger,1,,7,,19,0.1054517696519128
164,PVH Tommy Hilfiger,1,,7,,20,0.1354900233057945
165,PVH Tommy Hilfiger,1,,7,,21,0.0461636277974292
166,PVH Tommy Hilfiger,1,,7,,22,0.0106196064569011
167,PVH Tommy Hilfiger,1,,7,,23,0.0
168,PVH Tommy Hilfiger,2,,1,,0,0.0
169,PVH Tommy Hilfiger,2,,1,,1,0.0
170,PVH Tommy Hilfiger,2,,1,,2,0.0180718626981917
171,PVH Tommy Hilfiger,2,,1,,3,0.0156632113529111
172,PVH Tommy Hilfiger,2,,1,,4,0.0132289126513726
173,PVH Tommy Hilfiger,2,,1,,5,0.0282064441029714
174,PVH Tommy Hilfiger,2,,1,,6,0.0086872455444295
175,PVH Tommy Hilfiger,2,,1,,7,0.0046999605827403
176,PVH Tommy Hilfiger,2,,1,,8,0.0036178833712256
177,PVH Tommy Hilfiger,2,,1,,9,0.0039502997997184
178,PVH Tommy Hilfiger,2,,1,,10,0.0143229565887786
179,PVH Tommy Hilfiger,2,,1,,11,0.0011337374650254
180,PVH Tommy Hilfiger,2,,1,,12,0.0071291270542272
181,PVH Tommy Hilfiger,2,,1,,13,0.0343583830891204
182,PVH Tommy Hilfiger,2,,1,,14,0.0099048220781301
183,PVH Tommy Hilfiger,2,,1,,15,0.0632457822174093
184,PVH Tommy Hilfiger,2,,1,,16,0.0823746584294746
185,PVH Tommy Hilfiger,2,,1,,17,0.1808468685048946
186,PVH Tommy Hilfiger,2,,1,,18,0.2128328172573408
187,PVH Tommy Hilfiger,2,,1,,19,0.1054517696519128
188,PVH Tommy Hilfiger,2,,1,,20,0.1354900233057945
189,PVH Tommy Hilfiger,2,,1,,21,0.0461636277974292
190,PVH Tommy Hilfiger,2,,1,,22,0.0106196064569011
191,PVH Tommy Hilfiger,2,,1,,23,0.0
192,PVH Tommy Hilfiger,2,,2,,0,0.0
193,PVH Tommy Hilfiger,2,,2,,1,0.0
194,PVH Tommy Hilfiger,2,,2,,2,0.0180718626981917
195,PVH Tommy Hilfiger,2,,2,,3,0.0156632113529111
196,PVH Tommy Hilfiger,2,,2,,4,0.0132289126513726
197,PVH Tommy Hilfiger,2,,2,,5,0.0282064441029714
198,PVH Tommy Hilfiger,2,,2,,6,0.0086872455444295
199,PVH Tommy Hilfiger,2,,2,,7,0.0046999605827403
200,PVH Tommy Hilfiger,2,,2,,8,0.0036178833712256
201,PVH Tommy Hilfiger,2,,2,,9,0.0039502997997184
202,PVH Tommy Hilfiger,2,,2,,10,0.0143229565887786
203,PVH Tommy Hilfiger,2,,2,,11,0.0011337374650254
204,PVH Tommy Hilfiger,2,,2,,12,0.0071291270542272
205,PVH Tommy Hilfiger,2,,2,,13,0.0343583830891204
206,PVH Tommy Hilfiger,2,,2,,14,0.0099048220781301
207,PVH Tommy Hilfiger,2,,2,,15,0.0632457822174093
208,PVH Tommy Hilfiger,2,,2,,16,0.0823746584294746
209,PVH Tommy Hilfiger,2,,2,,17,0.1808468685048946
210,PVH Tommy Hilfiger,2,,2,,18,0.2128328172573408
211,PVH Tommy Hilfiger,2,,2,,19,0.1054517696519128
212,PVH Tommy Hilfiger,2,,2,,20,0.1354900233057945
213,PVH Tommy Hilfiger,2,,2,,21,0.0461636277974292
214,PVH Tommy Hilfiger,2,,2,,22,0.0106196064569011
215,PVH Tommy Hilfiger,2,,2,,23,0.0
216,PVH Tommy Hilfiger,2,,3,,0,0.0
217,PVH Tommy Hilfiger,2,,3,,1,0.0
218,PVH Tommy Hilfiger,2,,3,,2,0.0180718626981917
219,PVH Tommy Hilfiger,2,,3,,3,0.0156632113529111
220,PVH Tommy Hilfiger,2,,3,,4,0.0132289126513726
221,PVH Tommy Hilfiger,2,,3,,5,0.0282064441029714
222,PVH Tommy Hilfiger,2,,3,,6,0.0086872455444295
223,PVH Tommy Hilfiger,2,,3,,7,0.0046999605827403
224,PVH Tommy Hilfiger,2,,3,,8,0.0036178833712256
225,PVH Tommy Hilfiger,2,,3,,9,0.0039502997997184
226,PVH Tommy Hilfiger,2,,3,,10,0.0143229565887786
227,PVH Tommy Hilfiger,2,,3,,11,0.0011337374650254
228,PVH Tommy Hilfiger,2,,3,,12,0.0071291270542272
229,PVH Tommy Hilfiger,2,,3,,13,0.0343583830891204
230,PVH Tommy Hilfiger,2,,3,,14,0.0099048220781301
231,PVH Tommy Hilfiger,2,,3,,15,0.0632457822174093
232,PVH Tommy Hilfiger,2,,3,,16,0.0823746584294746
233,PVH Tommy Hilfiger,2,,3,,17,0.1808468685048946
234,PVH Tommy Hilfiger,2,,3,,18,0.2128328172573408
235,PVH Tommy Hilfiger,2,,3,,19,0.1054517696519128
236,PVH Tommy Hilfiger,2,,3,,20,0.1354900233057945
237,PVH Tommy Hilfiger,2,,3,,21,0.0461636277974292
238,PVH Tommy Hilfiger,2,,3,,22,0.0106196064569011
239,PVH Tommy Hilfiger,2,,3,,23,0.0
240,PVH Tommy Hilfiger,2,,4,,0,0.0
241,PVH Tommy Hilfiger,2,,4,,1,0.0
242,PVH Tommy Hilfiger,2,,4,,2,0.0180718626981917
243,PVH Tommy Hilfiger,2,,4,,3,0.0156632113529111
244,PVH Tommy Hilfiger,2,,4,,4,0.0132289126513726
245,PVH Tommy Hilfiger,2,,4,,5,0.0282064441029714
246,PVH Tommy Hilfiger,2,,4,,6,0.0086872455444295
247,PVH Tommy Hilfiger,2,,4,,7,0.0046999605827403
248,PVH Tommy Hilfiger,2,,4,,8,0.0036178833712256
249,PVH Tommy Hilfiger,2,,4,,9,0.0039502997997184
250,PVH Tommy Hilfiger,2,,4,,10,0.0143229565887786
251,PVH Tommy Hilfiger,2,,4,,11,0.0011337374650254
252,PVH Tommy Hilfiger,2,,4,,12,0.0071291270542272
253,PVH Tommy Hilfiger,2,,4,,13,0.0343583830891204
254,PVH Tommy Hilfiger,2,,4,,14,0.0099048220781301
255,PVH Tommy Hilfiger,2,,4,,15,0.0632457822174093
256,PVH Tommy Hilfiger,2,,4,,16,0.0823746584294746
257,PVH Tommy Hilfiger,2,,4,,17,0.1808468685048946
258,PVH Tommy Hilfiger,2,,4,,18,0.2128328172573408
259,PVH Tommy Hilfiger,2,,4,,19,0.1054517696519128
260,PVH Tommy Hilfiger,2,,4,,20,0.1354900233057945
261,PVH Tommy Hilfiger,2,,4,,21,0.0461636277974292
262,PVH Tommy Hilfiger,2,,4,,22,0.0106196064569011
263,PVH Tommy Hilfiger,2,,4,,23,0.0
264,PVH Tommy Hilfiger,2,,5,,0,0.0
265,PVH Tommy Hilfiger,2,,5,,1,0.0
266,PVH Tommy Hilfiger,2,,5,,2,0.0180718626981917
267,PVH Tommy Hilfiger,2,,5,,3,0.0156632113529111
268,PVH Tommy Hilfiger,2,,5,,4,0.0132289126513726
269,PVH Tommy Hilfiger,2,,5,,5,0.0282064441029714
270,PVH Tommy Hilfiger,2,,5,,6,0.0086872455444295
271,PVH Tommy Hilfiger,2,,5,,7,0.0046999605827403
272,PVH Tommy Hilfiger,2,,5,,8,0.0036178833712256
273,PVH Tommy Hilfiger,2,,5,,9,0.0039502997997184
274,PVH Tommy Hilfiger,2,,5,,10,0.0143229565887786
275,PVH Tommy Hilfiger,2,,5,,11,0.0011337374650254
276,PVH Tommy Hilfiger,2,,5,,12,0.0071291270542272
277,PVH Tommy Hilfiger,2,,5,,13,0.0343583830891204
278,PVH Tommy Hilfiger,2,,5,,14,0.0099048220781301
279,PVH Tommy Hilfiger,2,,5,,15,0.0632457822174093
280,PVH Tommy Hilfiger,2,,5,,16,0.0823746584294746
281,PVH Tommy Hilfiger,2,,5,,17,0.1808468685048946
282,PVH Tommy Hilfiger,2,,5,,18,0.2128328172573408
283,PVH Tommy Hilfiger,2,,5,,19,0.1054517696519128
284,PVH Tommy Hilfiger,2,,5,,20,0.1354900233057945
285,PVH Tommy Hilfiger,2,,5,,21,0.0461636277974292
286,PVH Tommy Hilfiger,2,,5,,22,0.0106196064569011
287,PVH Tommy Hilfiger,2,,5,,23,0.0
288,PVH Tommy Hilfiger,2,,6,,0,0.0
289,PVH Tommy Hilfiger,2,,6,,1,0.0
290,PVH Tommy Hilfiger,2,,6,,2,0.0180718626981917
291,PVH Tommy Hilfiger,2,,6,,3,0.0156632113529111
292,PVH Tommy Hilfiger,2,,6,,4,0.0132289126513726
293,PVH Tommy Hilfiger,2,,6,,5,0.0282064441029714
294,PVH Tommy Hilfiger,2,,6,,6,0.0086872455444295
295,PVH Tommy Hilfiger,2,,6,,7,0.0046999605827403
296,PVH Tommy Hilfiger,2,,6,,8,0.0036178833712256
297,PVH Tommy Hilfiger,2,,6,,9,0.0039502997997184
298,PVH Tommy Hilfiger,2,,6,,10,0.0143229565887786
299,PVH Tommy Hilfiger,2,,6,,11,0.0011337374650254
300,PVH Tommy Hilfiger,2,,6,,12,0.0071291270542272
301,PVH Tommy Hilfiger,2,,6,,13,0.0343583830891204
302,PVH Tommy Hilfiger,2,,6,,14,0.0099048220781301
303,PVH Tommy Hilfiger,2,,6,,15,0.0632457822174093
304,PVH Tommy Hilfiger,2,,6,,16,0.0823746584294746
305,PVH Tommy Hilfiger,2,,6,,17,0.1808468685048946
306,PVH Tommy Hilfiger,2,,6,,18,0.2128328172573408
307,PVH Tommy Hilfiger,2,,6,,19,0.1054517696519128
308,PVH Tommy Hilfiger,2,,6,,20,0.1354900233057945
309,PVH Tommy Hilfiger,2,,6,,21,0.0461636277974292
310,PVH Tommy Hilfiger,2,,6,,22,0.0106196064569011
311,PVH Tommy Hilfiger,2,,6,,23,0.0
312,PVH Tommy Hilfiger,2,,7,,0,0.0
313,PVH Tommy Hilfiger,2,,7,,1,0.0
314,PVH Tommy Hilfiger,2,,7,,2,0.0180718626981917
315,PVH Tommy Hilfiger,2,,7,,3,0.0156632113529111
316,PVH Tommy Hilfiger,2,,7,,4,0.0132289126513726
317,PVH Tommy Hilfiger,2,,7,,5,0.0282064441029714
318,PVH Tommy Hilfiger,2,,7,,6,0.0086872455444295
319,PVH Tommy Hilfiger,2,,7,,7,0.0046999605827403
320,PVH Tommy Hilfiger,2,,7,,8,0.0036178833712256
321,PVH Tommy Hilfiger,2,,7,,9,0.0039502997997184
322,PVH Tommy Hilfiger,2,,7,,10,0.0143229565887786
323,PVH Tommy Hilfiger,2,,7,,11,0.0011337374650254
324,PVH Tommy Hilfiger,2,,7,,12,0.0071291270542272
325,PVH Tommy Hilfiger,2,,7,,13,0.0343583830891204
326,PVH Tommy Hilfiger,2,,7,,14,0.0099048220781301
327,PVH Tommy Hilfiger,2,,7,,15,0.0632457822174093
328,PVH Tommy Hilfiger,2,,7,,16,0.0823746584294746
329,PVH Tommy Hilfiger,2,,7,,17,0.1808468685048946
330,PVH Tommy Hilfiger,2,,7,,18,0.2128328172573408
331,PVH Tommy Hilfiger,2,,7,,19,0.1054517696519128
332,PVH Tommy Hilfiger,2,,7,,20,0.1354900233057945
333,PVH Tommy Hilfiger,2,,7,,21,0.0461636277974292
334,PVH Tommy Hilfiger,2,,7,,22,0.0106196064569011
335,PVH Tommy Hilfiger,2,,7,,23,0.0
336,PVH Tommy Hilfiger,3,,1,,0,0.0
337,PVH Tommy Hilfiger,3,,1,,1,0.0
338,PVH Tommy Hilfiger,3,,1,,2,0.0180718626981917
339,PVH Tommy Hilfiger,3,,1,,3,0.0156632113529111
340,PVH Tommy Hilfiger,3,,1,,4,0.0132289126513726
341,PVH Tommy Hilfiger,3,,1,,5,0.0282064441029714
342,PVH Tommy Hilfiger,3,,1,,6,0.0086872455444295
343,PVH Tommy Hilfiger,3,,1,,7,0.0046999605827403
344,PVH Tommy Hilfiger,3,,1,,8,0.0036178833712256
345,PVH Tommy Hilfiger,3,,1,,9,0.0039502997997184
346,PVH Tommy Hilfiger,3,,1,,10,0.0143229565887786
347,PVH Tommy Hilfiger,3,,1,,11,0.0011337374650254
348,PVH Tommy Hilfiger,3,,1,,12,0.0071291270542272
349,PVH Tommy Hilfiger,3,,1,,13,0.0343583830891204
350,PVH Tommy Hilfiger,3,,1,,14,0.0099048220781301
351,PVH Tommy Hilfiger,3,,1,,15,0.0632457822174093
352,PVH Tommy Hilfiger,3,,1,,16,0.0823746584294746
353,PVH Tommy Hilfiger,3,,1,,17,0.1808468685048946
354,PVH Tommy Hilfiger,3,,1,,18,0.2128328172573408
355,PVH Tommy Hilfiger,3,,1,,19,0.1054517696519128
356,PVH Tommy Hilfiger,3,,1,,20,0.1354900233057945
357,PVH Tommy Hilfiger,3,,1,,21,0.0461636277974292
358,PVH Tommy Hilfiger,3,,1,,22,0.0106196064569011
359,PVH Tommy Hilfiger,3,,1,,23,0.0
360,PVH Tommy Hilfiger,3,,2,,0,0.0
361,PVH Tommy Hilfiger,3,,2,,1,0.0
362,PVH Tommy Hilfiger,3,,2,,2,0.0180718626981917
363,PVH Tommy Hilfiger,3,,2,,3,0.0156632113529111
364,PVH Tommy Hilfiger,3,,2,,4,0.0132289126513726
365,PVH Tommy Hilfiger,3,,2,,5,0.0282064441029714
366,PVH Tommy Hilfiger,3,,2,,6,0.0086872455444295
367,PVH Tommy Hilfiger,3,,2,,7,0.0046999605827403
368,PVH Tommy Hilfiger,3,,2,,8,0.0036178833712256
369,PVH Tommy Hilfiger,3,,2,,9,0.0039502997997184
370,PVH Tommy Hilfiger,3,,2,,10,0.0143229565887786
371,PVH Tommy Hilfiger,3,,2,,11,0.0011337374650254
372,PVH Tommy Hilfiger,3,,2,,12,0.0071291270542272
373,PVH Tommy Hilfiger,3,,2,,13,0.0343583830891204
374,PVH Tommy Hilfiger,3,,2,,14,0.0099048220781301
375,PVH Tommy Hilfiger,3,,2,,15,0.0632457822174093
376,PVH Tommy Hilfiger,3,,2,,16,0.0823746584294746
377,PVH Tommy Hilfiger,3,,2,,17,0.1808468685048946
378,PVH Tommy Hilfiger,3,,2,,18,0.2128328172573408
379,PVH Tommy Hilfiger,3,,2,,19,0.1054517696519128
380,PVH Tommy Hilfiger,3,,2,,20,0.1354900233057945
381,PVH Tommy Hilfiger,3,,2,,21,0.0461636277974292
382,PVH Tommy Hilfiger,3,,2,,22,0.0106196064569011
383,PVH Tommy Hilfiger,3,,2,,23,0.0
384,PVH Tommy Hilfiger,3,,3,,0,0.0
385,PVH Tommy Hilfiger,3,,3,,1,0.0
386,PVH Tommy Hilfiger,3,,3,,2,0.0180718626981917
387,PVH Tommy Hilfiger,3,,3,,3,0.0156632113529111
388,PVH Tommy Hilfiger,3,,3,,4,0.0132289126513726
389,PVH Tommy Hilfiger,3,,3,,5,0.0282064441029714
390,PVH Tommy Hilfiger,3,,3,,6,0.0086872455444295
391,PVH Tommy Hilfiger,3,,3,,7,0.0046999605827403
392,PVH Tommy Hilfiger,3,,3,,8,0.0036178833712256
393,PVH Tommy Hilfiger,3,,3,,9,0.0039502997997184
394,PVH Tommy Hilfiger,3,,3,,10,0.0143229565887786
