,Bedrijf,Maand nummer,Probability Maand,Dag nummer,Probability Dag,Uur nummer,Probability Uur,Probability Uur Smart0,Probability Uur Smart1
62,PVH Tommy Hilfiger,1,,3,,14,0.0099048220781301,0.0492141392131922,0.0295573437956579
63,PVH Tommy Hilfiger,1,,3,,15,0.0632457822174093,0.0670233886430069,0.032480486491574
64,PVH Tommy Hilfiger,1,,3,,16,0.0823746584294746,0.0830087461070469,0.0383616567552697
65,PVH Tommy Hilfiger,1,,3,,17,0.1808468685048946,0.1033331111624174,0.0459530779725745
66,PVH Tommy Hilfiger,1,,3,,18,0.2128328172573408,0.1145514714949592,0.0528601305918386
67,PVH Tommy Hilfiger,1,,3,,19,0.1054517696519128,0.1160551972435952,0.0564736475626324
68,PVH Tommy Hilfiger,1,,3,,20,0.1354900233057945,0.1050459048650052,0.0590212586499389
69,PVH Tommy Hilfiger,1,,3,,21,0.0461636277974292,0.0848258000746033,0.060325033549769
70,PVH Tommy Hilfiger,1,,3,,22,0.0106196064569011,0.0604051187410707,0.0606424025951926
71,PVH Tommy Hilfiger,1,,3,,23,0.0,0.0410614397981484,0.0609691756841019
72,PVH Tommy Hilfiger,1,,4,,0,0.0,0.0223966530687821,0.0611542639966294
73,PVH Tommy Hilfiger,1,,4,,1,0.0,0.0107871822875869,0.0611021969756856
74,PVH Tommy Hilfiger,1,,4,,2,0.0180718626981917,0.0060539045546062,0.0606633968666052
75,PVH Tommy Hilfiger,1,,4,,3,0.0156632113529111,0.0026771435299667,0.0553967278069893
76,PVH Tommy Hilfiger,1,,4,,4,0.0132289126513726,0.0020852629229522,0.0490346341167014
77,PVH Tommy Hilfiger,1,,4,,5,0.0282064441029714,0.0034496836657509,0.0376537679887371
78,PVH Tommy Hilfiger,1,,4,,6,0.0086872455444295,0.00692848644751,0.0264883605304416
79,PVH Tommy Hilfiger,1,,4,,7,0.0046999605827403,0.0105236024264905,0.0227206168898645
80,PVH Tommy Hilfiger,1,,4,,8,0.0036178833712256,0.0108662610478809,0.0188339265506828
81,PVH Tommy Hilfiger,1,,4,,9,0.0039502997997184,0.0126673628875713,0.0197331597630458
82,PVH Tommy Hilfiger,1,,4,,10,0.0143229565887786,0.0119831020770995,0.0183634228992116
83,PVH Tommy Hilfiger,1,,4,,11,0.0011337374650254,0.0123293717762007,0.0184565987457109
84,PVH Tommy Hilfiger,1,,4,,12,0.0071291270542272,0.0240452156869825,0.023998181641239
85,PVH Tommy Hilfiger,1,,4,,13,0.0343583830891204,0.0386824502775727,0.029756531579905
86,PVH Tommy Hilfiger,1,,4,,14,0.0099048220781301,0.0492141392131922,0.0295573437956579
87,PVH Tommy Hilfiger,1,,4,,15,0.0632457822174093,0.0670233886430069,0.032480486491574
88,PVH Tommy Hilfiger,1,,4,,16,0.0823746584294746,0.0830087461070469,0.0383616567552697
89,PVH Tommy Hilfiger,1,,4,,17,0.1808468685048946,0.1033331111624174,0.0459530779725745
90,PVH Tommy Hilfiger,1,,4,,18,0.2128328172573408,0.1145514714949592,0.0528601305918386
91,PVH Tommy Hilfiger,1,,4,,19,0.1054517696519128,0.1160551972435952,0.0564736475626324
